process.NOUN.000001	process%1:09:00::	Motivational/motivational/ADJ self/self/NOUN system/system/NOUN After/after/ADP developing/develop/VERB the/the/DET <head>process/process/NOUN</head> model/model/NOUN ,/,/PUNCT D̦rnyei/D̦rnyei/PROPN (/(/PUNCT 2005/2005/NUM )/)/PUNCT designed/design/VERB the/the/DET motivational/motivational/ADJ self/self/NOUN system/system/NOUN of/of/ADP L2/l2/NOUN learning/learning/NOUN ././PUNCT
process.NOUN.000002	process%1:09:00::	Within/within/ADP these/these/DET three/three/NUM dimensions/dimension/NOUN are/be/AUX a/a/DET broad/broad/ADJ range/range/NOUN of/of/ADP topics/topic/NOUN including/include/VERB motor/motor/NOUN skills/skill/NOUN ,/,/PUNCT executive/executive/ADJ functions/function/NOUN ,/,/PUNCT moral/moral/ADJ understanding/understanding/NOUN ,/,/PUNCT language/language/NOUN acquisition/acquisition/NOUN ,/,/PUNCT social/social/ADJ change/change/NOUN ,/,/PUNCT personality/personality/NOUN ,/,/PUNCT emotional/emotional/ADJ development/development/NOUN ,/,/PUNCT self-concept/self-concept/NOUN and/and/CCONJ identity/identity/NOUN formation.Developmental/formation.developmental/NOUN psychology/psychology/NOUN examines/examine/VERB the/the/DET influences/influence/NOUN of/of/ADP nature/nature/NOUN and/and/CCONJ nurture/nurture/NOUN on/on/ADP the/the/DET <head>process/process/NOUN</head> of/of/ADP human/human/ADJ development/development/NOUN ,/,/PUNCT and/and/CCONJ processes/process/NOUN of/of/ADP change/change/NOUN in/in/ADP context/context/NOUN and/and/CCONJ across/across/ADP time/time/NOUN ././PUNCT
process.NOUN.000003	process%1:09:00::	Neuropsychology/neuropsychology/NOUN is/be/AUX the/the/DET branch/branch/NOUN of/of/ADP psychology/psychology/NOUN that/that/DET aims/aim/VERB to/to/PART understand/understand/VERB how/how/ADV the/the/DET structure/structure/NOUN and/and/CCONJ function/function/NOUN of/of/ADP the/the/DET brain/brain/NOUN relate/relate/VERB to/to/ADP specific/specific/ADJ behavioral/behavioral/ADJ and/and/CCONJ psychological/psychological/ADJ <head>processes/process/NOUN</head> ././PUNCT
process.NOUN.000005	process%1:09:00::	Bloom/Bloom/PROPN also/also/ADV did/do/AUX research/research/NOUN on/on/ADP college/college/NOUN students/student/NOUN and/and/CCONJ their/-PRON-/DET problem/problem/NOUN solving/solve/VERB <head>processes/process/NOUN</head> ././PUNCT
process.NOUN.000006	process%1:09:00::	John/John/PROPN Locke/Locke/PROPN John/John/PROPN Locke/Locke/PROPN followed/follow/VERB by/by/ADP taking/take/VERB issue/issue/NOUN with/with/ADP Plato/Plato/PROPN 's/'s/PART theory/theory/NOUN of/of/ADP innate/innate/ADJ learning/learning/NOUN <head>processes/process/NOUN</head> ././PUNCT
process.NOUN.000007	process%1:09:00::	Nearly/nearly/ADV three/three/NUM hundred/hundred/NUM field/field/NOUN workers/worker/NOUN participated/participate/VERB in/in/ADP the/the/DET <head>process/process/NOUN</head> of/of/ADP interviewing/interview/VERB 2000/2000/NUM slaves/slave/NOUN across/across/ADP seventeen/seventeen/NUM states/state/NOUN to/to/PART construct/construct/VERB narratives/narrative/NOUN from/from/ADP the/the/DET former/former/ADJ slaves/slave/NOUN '/'/PART accounts/account/NOUN of/of/ADP their/-PRON-/DET lives/life/NOUN as/as/SCONJ slaves/slave/NOUN and/and/CCONJ during/during/ADP the/the/DET period/period/NOUN after/after/ADP the/the/DET Civil/Civil/PROPN War/War/PROPN ././PUNCT
process.NOUN.000009	process%1:09:00::	The/the/DET peripheral/peripheral/ADJ route/route/NOUN is/be/AUX more/more/ADV superficial/superficial/ADJ and/and/CCONJ results/result/NOUN in/in/ADP shorter/short/ADJ lasting/last/VERB change/change/NOUN ,/,/PUNCT but/but/CCONJ does/do/AUX not/not/PART require/require/VERB as/as/ADV much/much/ADJ motivation/motivation/NOUN to/to/PART <head>process/process/NOUN</head> ././PUNCT
process.NOUN.000010	process%1:09:00::	It/-PRON-/PRON can/can/VERB be/be/AUX generated/generate/VERB by/by/ADP five/five/NUM basic/basic/ADJ <head>processes/process/NOUN</head> ,/,/PUNCT including/include/VERB :/:/PUNCT lack/lack/NOUN or/or/CCONJ loss/loss/NOUN of/of/ADP positive/positive/ADJ reinforcement/reinforcement/NOUN ,/,/PUNCT direct/direct/ADJ positive/positive/ADJ or/or/CCONJ negative/negative/ADJ reinforcement/reinforcement/NOUN for/for/ADP depressive/depressive/ADJ behavior/behavior/NOUN ,/,/PUNCT lack/lack/NOUN of/of/ADP rule-governed/rule-governed/ADJ behavior/behavior/NOUN or/or/CCONJ too/too/ADV much/much/ADJ rule-governed/rule-governed/ADJ behavior/behavior/NOUN ,/,/PUNCT and/or/and/or/CCONJ too/too/ADV much/much/ADJ environmental/environmental/ADJ punishment/punishment/NOUN ././PUNCT
process.NOUN.000011	process%1:09:00::	Attention/attention/NOUN to/to/ADP language/language/NOUN and/and/CCONJ ideological/ideological/ADJ <head>processes/process/NOUN</head> ,/,/PUNCT others/other/NOUN would/would/VERB argue/argue/VERB ,/,/PUNCT is/be/AUX essential/essential/ADJ to/to/ADP effective/effective/ADJ critical/critical/ADJ psychology/psychology/NOUN -/-/PUNCT it/-PRON-/PRON is/be/AUX not/not/PART simply/simply/ADV a/a/DET matter/matter/NOUN of/of/ADP applying/apply/VERB mainstream/mainstream/ADJ psychological/psychological/ADJ concepts/concept/NOUN to/to/ADP issues/issue/NOUN of/of/ADP social/social/ADJ change/change/NOUN ././PUNCT
process.NOUN.000012	process%1:09:00::	People/People/NOUN with/with/ADP sensory/sensory/ADJ processing/processing/NOUN issues/issue/NOUN may/may/VERB benefit/benefit/VERB from/from/ADP a/a/DET sensory/sensory/ADJ diet/diet/NOUN of/of/ADP activities/activity/NOUN and/and/CCONJ accommodations/accommodation/NOUN designed/design/VERB to/to/PART prevent/prevent/VERB sensory/sensory/ADJ overload/overload/NOUN and/and/CCONJ retrain/retrain/VERB the/the/DET brain/brain/NOUN to/to/PART <head>process/process/NOUN</head> sensory/sensory/ADJ input/input/NOUN more/more/ADV typically/typically/ADV ././PUNCT
